question
"Is the item vegetarian?"
"Is the item non vegetarian?"
"Is the item sweet?"
"Is the item from Burgrill?"
"Is the item from Fat Guys Kitchen?"
"Is the item from Koyla Kebab?"
"Is the item from GreenNox?"
"Is the item from Mama Fu?"
"Is the item fried?"
"Is the item served hot?"
"Is the item a beverage?"
"Is the item a dessert?"
"Is the item savory?"
"Is the item eaten with hands?"
"Is the item cold or chilled when served?"
